,plate,well,fov,model,umap1,umap2
67,BR00117024,r06c06,06,real,-2.7918046,6.6767654
68,BR00116995,r13c22,03,real,-1.8825712,4.2536607
69,BR00116995,r13c22,03,real,-2.1699522,4.463677
70,BR00116995,r13c22,03,real,-2.7076795,5.3188944
71,BR00116995,r13c22,03,real,-2.0439408,2.5241768
72,BR00117013,r10c23,03,real,-1.1876681,2.6479673
73,BR00117013,r10c23,03,real,-2.9414778,4.1208806
74,BR00117012,r10c14,04,real,-1.6659263,4.877382
75,BR00117012,r10c14,04,real,-3.126549,3.6963184
76,BR00117026,r07c04,01,real,-1.1245176,3.045311
77,BR00117026,r07c04,01,real,-2.2269337,5.424981
78,BR00117026,r13c17,02,real,-1.7964125,4.1431336
79,BR00117026,r13c17,02,real,-2.251909,5.479842
80,BR00117011,r04c22,03,real,-3.0977352,6.5749564
81,BR00117011,r04c22,03,real,-2.8669198,3.2237246
82,BR00117012,r11c19,02,real,-0.717872,5.3252144
83,BR00117011,r12c06,09,real,-1.5405885,2.0639145
84,BR00117025,r13c23,04,real,-1.1199075,5.413618
85,BR00117011,r11c13,01,real,-2.2491796,3.2877743
86,BR00117026,r11c06,09,real,-1.7861959,4.3328695
87,BR00117026,r11c06,09,real,-2.7425213,4.798329
88,BR00117026,r11c06,09,real,-1.8004464,4.9124465
89,BR00117026,r11c06,09,real,-1.8898509,3.5768108
90,BR00117013,r06c03,02,real,-1.1853702,0.97841245
91,BR00117013,r06c03,02,real,-2.1932442,2.1977043
92,BR00117012,r11c16,01,real,-2.4937196,5.879026
93,BR00117012,r16c05,08,real,-2.5138657,2.567067
94,BR00117012,r16c05,08,real,-1.5484076,3.2763758
95,BR00117012,r16c05,08,real,-1.3878604,6.2606034
96,BR00116995,r07c18,03,real,-0.716272,5.6533604
97,BR00117024,r01c09,02,real,-2.1534138,4.888706
98,BR00117026,r06c03,09,real,-2.1439414,5.2653856
99,BR00117026,r06c03,09,real,-0.8515144,4.3529396
100,BR00117013,r03c12,09,real,-2.990353,4.0069246
101,BR00117013,r03c12,09,real,-1.1603206,2.9345164
102,BR00117013,r03c12,09,real,-1.3120548,1.1162629
103,BR00117013,r06c01,05,real,-1.2891068,5.559666
104,BR00117026,r07c09,05,real,-1.4017428,1.4641242
105,BR00117012,r04c15,01,real,-1.5898318,5.44372
106,BR00117012,r04c15,01,real,-1.924497,5.627331
107,BR00117012,r04c15,01,real,-1.4366852,4.0901165
108,BR00117013,r13c23,05,real,-1.9788318,6.3626018
109,BR00117025,r12c02,03,real,-3.011703,5.8441195
110,BR00117025,r12c02,03,real,-2.951651,4.8159137
111,BR00117025,r12c02,03,real,-2.9729362,4.4152846
112,BR00117012,r09c10,06,real,-0.07869259,3.7840252
113,BR00117026,r02c03,08,real,-2.2426531,4.3329883
114,BR00117026,r06c03,07,real,-0.41946256,4.719093
115,BR00117025,r08c17,07,real,-2.9039764,3.413241
116,BR00117012,r03c21,01,real,-0.35856616,3.561711
117,BR00117025,r15c18,03,real,-1.1092225,6.0759864
118,BR00117025,r15c18,03,real,-0.9916171,3.9507024
119,BR00117010,r07c18,07,real,-2.0377672,5.5419054
120,BR00117026,r14c22,08,real,-1.0641116,4.525628
121,BR00117026,r14c22,08,real,-2.6033344,3.0495048
122,BR00117013,r04c15,03,real,-1.4101439,4.1600327
123,BR00117013,r04c15,03,real,-1.1407555,1.7806028
124,BR00117024,r07c09,07,real,-1.2445961,0.9638707
125,BR00117024,r07c09,07,real,-3.3707886,4.774208
126,BR00117013,r14c08,07,real,-1.1137571,6.076144
127,BR00117013,r14c08,07,real,-2.433053,4.470661
128,BR00117024,r09c02,09,real,-2.5964515,5.0628057
129,BR00117024,r09c02,09,real,-3.536365,4.726466
130,BR00117010,r02c03,01,real,-2.1387725,6.6414256
131,BR00117010,r07c10,05,real,-2.1637774,6.454771
132,BR00117011,r12c02,01,real,-2.8076665,4.1873965
133,BR00117026,r01c02,06,real,-2.8159745,6.3974533
134,BR00117026,r01c02,06,real,-1.6329391,4.2054167
135,BR00117026,r01c02,06,real,-2.1337872,5.0306945
136,BR00117025,r06c06,05,real,-1.5918963,4.1608095
137,BR00117013,r06c06,06,real,-0.6764704,5.695893
138,BR00117013,r06c06,06,real,-2.1063068,6.2757382
139,BR00117013,r06c06,06,real,-0.96756184,3.096334
140,BR00117013,r06c06,06,real,-2.1543553,4.948649
141,BR00117010,r14c22,01,real,-3.172141,5.6595206
142,BR00117010,r14c22,01,real,-2.3000698,5.7328115
143,BR00116995,r03c21,04,real,-1.1727432,5.6962986
144,BR00117025,r07c18,07,real,-1.4249866,4.86833
145,BR00117025,r07c18,07,real,-1.9487703,4.1313376
146,BR00117025,r07c18,07,real,-2.3704004,6.042052
147,BR00117024,r04c22,05,real,-3.2140615,5.875576
148,BR00117011,r07c18,06,real,-1.8585557,3.436235
149,BR00117011,r07c18,06,real,-1.532954,6.466367
150,BR00117012,r06c06,08,real,-0.5657107,4.372944
151,BR00117012,r06c06,08,real,-1.2303517,2.8042498
152,BR00116995,r05c14,01,real,-2.3289897,5.613841
153,BR00117025,r13c04,02,real,-1.2094095,4.709004
154,BR00117025,r02c14,01,real,-1.5676262,4.692559
155,BR00116995,r06c06,08,real,-1.5587248,1.5372516
156,BR00116995,r06c06,08,real,-1.2210883,0.97830224
157,BR00117024,r05c14,04,real,-1.8484768,2.4469001
158,BR00117024,r05c14,04,real,-2.165458,4.7756166
159,BR00117010,r12c05,04,real,-1.5009303,1.6325803
160,BR00117026,r15c07,02,real,-1.9386266,4.1936116
161,BR00117026,r15c07,02,real,-2.28888,5.636792
162,BR00117024,r11c13,02,real,-1.463438,3.9108007
163,BR00117024,r08c04,08,real,-2.6076007,3.3580031
164,BR00117010,r04c22,04,real,-1.8639308,5.8204947
165,BR00117025,r03c03,04,real,-2.6574883,3.89868
166,BR00117025,r03c03,04,real,-3.3446722,5.1907287
167,BR00117025,r03c03,04,real,-2.969063,6.5995855
168,BR00117025,r03c03,04,real,-2.3561397,4.576948
169,BR00117013,r13c04,01,real,-1.2264168,4.7474575
170,BR00117013,r13c04,01,real,-2.71772,3.9693234
171,BR00117013,r13c04,01,real,-2.1440024,5.444794
172,BR00117011,r06c01,07,real,-2.4381123,2.4240153
173,BR00117011,r06c01,07,real,-2.6090345,3.97453
174,BR00117011,r06c01,07,real,-2.4363904,5.4399557
175,BR00117011,r15c18,09,real,-1.4685243,3.8688796
176,BR00117011,r15c18,09,real,-3.1297426,6.189671
177,BR00117011,r15c18,09,real,-2.7335901,3.971154
178,BR00117011,r15c18,09,real,-2.6840355,5.009099
179,BR00117024,r10c23,08,real,-2.9106853,6.671302
180,BR00117012,r15c18,09,real,-0.17033184,3.455397
181,BR00117012,r15c18,09,real,-0.4047236,3.650134
182,BR00117010,r08c13,07,real,-1.9636078,4.0635877
183,BR00117010,r08c13,07,real,-0.7386127,5.3180947
184,BR00117010,r08c13,07,real,-1.6127032,6.177397
185,BR00117012,r12c18,02,real,-1.2674965,2.3586783
186,BR00117025,r12c05,09,real,-3.0384011,6.205379
187,BR00117011,r10c14,07,real,-2.070193,4.5362544
188,BR00117011,r01c02,01,real,-3.0353227,5.596103
189,BR00117025,r03c21,09,real,-2.0431592,2.657516
190,BR00117026,r15c07,04,real,-1.6391742,6.4737663
191,BR00117011,r12c18,03,real,-0.7735672,4.90117
192,BR00117011,r07c04,03,real,-2.7768776,4.9477773
193,BR00117013,r04c21,09,real,-0.51841563,4.214691
194,BR00117013,r04c21,09,real,-0.72124237,5.1184044
195,BR00117024,r09c10,06,real,-2.4026814,4.066177
196,BR00117024,r09c10,06,real,-2.84013,3.0545309
197,BR00117024,r09c10,06,real,-2.5439928,4.8475857
198,BR00117024,r01c17,03,real,-2.2795262,2.3715096
199,BR00117011,r14c07,09,real,-1.3701386,1.5159725
200,BR00117025,r05c07,02,real,-1.1806417,0.9653948
201,BR00117025,r05c07,02,real,-1.8688434,3.5924466
202,BR00117013,r10c19,06,real,-0.6328841,4.441284
203,BR00116995,r06c09,04,real,-2.76226,5.038747
204,BR00116995,r06c09,04,real,-2.8957746,6.027216
205,BR00117011,r09c02,03,real,-2.1653726,4.860416
206,BR00117011,r09c02,03,real,-2.238308,3.177724
207,BR00117011,r13c04,05,real,-2.1650863,2.8930385
208,BR00117025,r09c09,05,real,-2.7439659,3.986026
209,BR00117025,r03c06,04,real,-2.45279,4.4691825
210,BR00117026,r13c17,04,real,-2.5523183,4.009813
211,BR00117026,r13c17,04,real,-0.7445383,4.713115
212,BR00117010,r05c14,06,real,-1.3450677,5.1874437
213,BR00116995,r14c08,06,real,-2.5632677,2.8432772
214,BR00116995,r14c08,06,real,-2.5017302,6.5476155
215,BR00117011,r16c05,08,real,-2.8559391,4.2877703
216,BR00117011,r16c05,08,real,-3.0421062,5.2121496
217,BR00117011,r16c05,08,real,-2.4938715,4.1482854
218,BR00117011,r16c05,08,real,-2.6664479,6.373436
219,BR00117013,r05c14,04,real,-0.9603582,5.1495795
220,BR00117013,r05c14,04,real,-2.9173017,5.176022
221,BR00117013,r04c22,06,real,-1.2573164,5.557907
222,BR00117013,r04c22,06,real,-0.3692638,5.6051707
223,BR00117013,r04c22,06,real,-1.5503055,6.222233
224,BR00117013,r04c22,06,real,-1.6160865,6.3328247
225,BR00117025,r11c16,05,real,-1.3606445,4.942718
226,BR00117025,r11c16,05,real,-1.9617051,2.6068132
227,BR00116995,r08c17,07,real,-2.4094765,5.5553703
228,BR00117025,r13c17,07,real,-1.0039736,2.96988
229,BR00117025,r13c17,07,real,-1.4355444,2.7171514
230,BR00117011,r14c07,05,real,-2.0890021,3.6835988
231,BR00117025,r04c22,05,real,-3.284183,5.9279733
232,BR00117025,r04c22,05,real,-1.7153891,3.617814
233,BR00117012,r14c07,05,real,-3.2665741,5.7657685
234,BR00117013,r12c15,02,real,-0.5254986,4.2128024
235,BR00117012,r12c05,01,real,-1.8997148,2.3929563
236,BR00117012,r12c05,01,real,-2.9097583,6.627397
237,BR00117013,r03c18,02,real,-2.2309723,3.2093058
238,BR00117012,r13c17,03,real,-0.08116331,4.271524
239,BR00117012,r13c17,03,real,-0.4915245,3.27455
240,BR00117011,r12c18,08,real,-1.9816846,3.6412306
241,BR00117024,r06c06,02,real,-3.2563832,4.199042
242,BR00117024,r06c06,02,real,-2.1545913,3.132616
243,BR00117024,r06c06,02,real,-2.6384113,2.4887123
244,BR00117024,r06c06,02,real,-1.6454093,1.5093302
245,BR00117011,r11c05,08,real,-2.615462,5.51929
246,BR00117012,r11c05,02,real,0.38296685,4.7701716
247,BR00117011,r04c22,02,real,-2.6384375,2.9507267
248,BR00117011,r04c22,02,real,-2.9946954,6.5003343
249,BR00117026,r13c01,05,real,-2.1402667,3.1530478
250,BR00117010,r14c07,08,real,-1.9048504,4.191808
251,BR00117010,r14c07,08,real,-1.1524627,2.131655
252,BR00117010,r14c07,08,real,-1.264846,2.7325375
253,BR00117010,r14c07,08,real,-1.5737062,5.2037616
254,BR00117010,r14c07,08,real,-1.1800736,2.2443275
255,BR00117011,r14c08,04,real,-3.106075,4.6776605
256,BR00116995,r04c21,05,real,-1.5650771,2.2341242
257,BR00117012,r06c06,09,real,-2.2502294,4.967465
258,BR00117011,r13c22,02,real,-2.4734714,5.6058936
259,BR00117011,r13c22,02,real,-1.0872427,3.8779888
260,BR00117026,r11c19,03,real,-1.034914,4.7150793
261,BR00117024,r03c03,06,real,-1.9979001,4.347054
262,BR00117025,r04c21,06,real,-1.3498032,1.2836988
263,BR00117025,r04c21,06,real,-2.7377403,3.8323998
264,BR00117026,r12c02,03,real,-2.8400972,3.4964156
265,BR00117013,r10c19,08,real,-2.8281474,5.3862214
266,BR00117013,r10c19,08,real,-2.5721383,2.6576984
267,BR00117013,r10c19,08,real,-1.1634136,5.865348
268,BR00117024,r13c22,06,real,-1.5189921,4.274277
269,BR00117012,r01c02,06,real,0.14464442,5.3238688
270,BR00117024,r06c03,08,real,-3.0232632,4.5152316
271,BR00117024,r06c03,08,real,-2.1300957,6.4774213
272,BR00117026,r08c18,02,real,-1.9323149,5.5258503
273,BR00117026,r08c18,02,real,-1.6516091,1.6071513
274,BR00117026,r12c15,09,real,-1.8327571,2.5668457
275,BR00117025,r12c15,08,real,-1.3774122,1.4107646
276,BR00117025,r12c15,08,real,-2.6271205,4.158691
277,BR00117025,r12c15,08,real,-1.6741688,3.8558524
278,BR00117010,r15c18,02,real,-1.0119565,5.970318
279,BR00117011,r05c07,06,real,-1.3502394,1.2527213
280,BR00117012,r12c06,02,real,-1.4153789,5.76198
281,BR00117012,r12c06,02,real,-1.826147,3.911652
282,BR00117012,r12c06,02,real,-2.1759348,5.2502575
283,BR00117011,r06c09,01,real,-1.5305164,6.3585997
284,BR00117024,r11c05,03,real,-2.9807227,4.598897
285,BR00117026,r07c18,08,real,-2.428269,4.581405
286,BR00117026,r07c18,08,real,-1.4256308,4.8616953
287,BR00117026,r07c18,08,real,-1.5589039,1.5835207
288,BR00117026,r09c22,07,real,-2.5633962,4.3077183
289,BR00117012,r08c04,06,real,-1.1489097,5.125973
290,BR00117012,r08c04,06,real,-1.907702,3.7403061
291,BR00117024,r13c22,05,real,-1.6154487,4.082235
292,BR00116995,r10c14,04,real,-2.2762494,4.648276
293,BR00116995,r10c14,04,real,-2.720512,5.4616623
294,BR00116995,r10c14,04,real,-2.0210743,3.4434683
295,BR00116995,r10c14,04,real,-1.8860167,2.7462828
296,BR00116995,r16c10,08,real,-3.148362,5.273033
297,BR00116995,r16c10,08,real,-1.7536966,2.3858953
298,BR00117013,r06c03,01,real,-1.7936167,2.4280972
299,BR00117026,r07c09,09,real,-2.9809384,4.7988043
300,BR00117025,r11c13,04,real,-2.3330226,4.6219435
301,BR00117024,r03c18,02,real,-3.228771,5.303549
302,BR00117024,r03c18,02,real,-1.69449,5.1899853
303,BR00117026,r03c03,07,real,-2.701944,6.6692157
304,BR00117011,r14c17,03,real,-2.3592136,4.824356
305,BR00117011,r14c17,03,real,-2.0357227,6.5286655
306,BR00117011,r14c17,03,real,-1.7754889,4.9175386
307,BR00117026,r15c18,02,real,-1.397432,1.4869448
308,BR00117026,r15c18,02,real,-2.3102038,2.384201
309,BR00117026,r15c18,02,real,-2.4867606,6.284145
310,BR00117010,r12c18,05,real,-2.7116349,5.8426614
311,BR00117010,r12c18,05,real,-2.9854817,5.3263965
312,BR00117026,r16c10,03,real,-2.8774536,3.217883
313,BR00117026,r16c10,03,real,-1.8106343,4.717274
314,BR00117010,r07c18,05,real,-1.1924384,4.1591444
315,BR00117011,r04c15,04,real,-2.5966578,6.680093
316,BR00117011,r04c15,04,real,-1.4850296,3.7867079
317,BR00117011,r08c13,08,real,-2.8838015,4.350104
318,BR00117011,r08c13,08,real,-1.7223736,5.411949
319,BR00117026,r04c14,02,real,-1.5964265,5.6678543
320,BR00116995,r03c15,02,real,-0.9946008,2.504826
321,BR00116995,r03c15,02,real,-2.0335639,3.424766
322,BR00116995,r03c15,02,real,-1.5415375,3.6687846
323,BR00116995,r03c15,02,real,-1.2312173,1.3557309
324,BR00117024,r12c05,01,real,-1.7073991,5.645797
325,BR00116995,r06c09,08,real,-1.7824705,5.6910157
326,BR00116995,r06c09,08,real,-3.1876645,3.7176616
327,BR00117011,r16c05,05,real,-3.3077867,6.0194845
328,BR00117011,r16c05,05,real,-1.9660449,5.445449
329,BR00117025,r12c02,06,real,-2.9795191,4.1790676
330,BR00117025,r12c02,06,real,-2.4236631,3.9811513
331,BR00117013,r07c18,08,real,-2.7959752,5.9198365
332,BR00117013,r07c18,08,real,-2.7079968,3.605375
333,BR00117013,r09c22,05,real,-1.0291922,4.307075
334,BR00117010,r03c06,02,real,-1.8849163,3.8152142
335,BR00117025,r13c04,04,real,-2.1569118,2.520379
336,BR00117026,r06c09,07,real,-2.9508913,3.515156
337,BR00117010,r08c04,01,real,-1.6367967,3.6440294
338,BR00117026,r05c24,09,real,-2.96862,4.086202
339,BR00116995,r12c05,02,real,-3.0135632,5.836334
340,BR00117012,r10c19,06,real,-0.15216757,5.0681024
341,BR00117012,r10c19,06,real,-1.4878752,5.882821
342,BR00117012,r10c19,06,real,-0.82374334,2.0108027
343,BR00117025,r14c08,07,real,-2.4091346,4.7810683
344,BR00117024,r06c01,03,real,-3.3695545,5.215208
345,BR00117024,r06c01,03,real,-3.1725702,4.020873
346,BR00117024,r08c13,02,real,-2.054968,4.5661654
347,BR00117024,r14c17,08,real,-2.8186686,3.0809753
348,BR00117010,r05c17,01,real,-2.5216672,2.746202
349,BR00116995,r08c13,05,real,-1.9512355,6.547359
350,BR00116995,r08c13,05,real,-1.7524127,3.8017442
351,BR00116995,r08c13,05,real,-1.9774642,5.002132
352,BR00117026,r09c02,07,real,-2.4775946,3.5689273
353,BR00117025,r09c09,06,real,-3.2942476,4.1635237
354,BR00117025,r09c09,06,real,-1.9254838,2.3680027
355,BR00117025,r09c09,06,real,-1.2862344,4.8060093
356,BR00116995,r08c10,09,real,-0.97542584,4.2295537
357,BR00116995,r08c10,09,real,-0.9662421,5.8783193
358,BR00116995,r08c10,09,real,-1.621161,3.2483373
359,BR00117013,r08c13,06,real,-2.0059586,3.9488158
360,BR00117013,r08c13,06,real,-2.1396577,6.3111744
361,BR00117025,r06c09,09,real,-1.0559644,3.8582976
362,BR00117010,r03c06,09,real,-0.62182754,5.500762
363,BR00117025,r11c16,04,real,-2.1877964,5.9008193
364,BR00117024,r11c05,04,real,-2.8051972,4.9310045
365,BR00117025,r07c10,04,real,-2.8975594,4.4326234
366,BR00117012,r05c14,03,real,-0.68211836,4.8214474
367,BR00117012,r05c14,03,real,-0.6820741,4.500607
368,BR00117026,r04c15,01,real,-2.4800436,6.724262
369,BR00117024,r02c14,01,real,-2.6705766,4.0535316
370,BR00117024,r03c03,08,real,-1.197541,1.0015004
371,BR00117024,r03c03,08,real,-1.7525564,5.7210665
372,BR00117024,r12c06,02,real,-1.5227569,1.5835168
373,BR00117024,r12c06,02,real,-1.5212674,2.3647375
374,BR00117024,r12c15,03,real,-2.2331321,4.063165
375,BR00117024,r08c13,09,real,-1.193483,6.054528
376,BR00117024,r08c13,09,real,-1.1935924,4.5199285
377,BR00117010,r05c07,08,real,-2.103383,5.139353
378,BR00117012,r13c01,09,real,0.59841484,4.5336885
379,BR00117012,r13c01,09,real,0.45257586,4.60211
380,BR00117012,r13c01,09,real,0.16904467,5.301392
381,BR00117012,r13c01,09,real,0.12337755,5.3467326
382,BR00117011,r11c16,01,real,-2.9470422,5.190398
383,BR00117011,r11c16,01,real,-1.4344976,5.773148
384,BR00117012,r08c04,08,real,-2.0003383,2.144905
385,BR00117012,r08c04,08,real,-1.515664,1.429856
386,BR00117012,r08c04,08,real,-1.156792,1.7320607
387,BR00117012,r08c04,08,real,-2.7761524,3.8308597
388,BR00117025,r01c09,03,real,-1.8715339,3.308063
389,BR00117013,r16c10,09,real,-0.53739,4.244851
390,BR00117013,r16c10,09,real,-2.1961927,5.7843566
391,BR00117026,r04c22,02,real,-2.2153332,4.262197
392,BR00117025,r14c08,04,real,-3.2061458,5.6510973
393,BR00117025,r14c08,04,real,-2.6266563,2.699455
394,BR00117025,r14c08,04,real,-3.0212317,6.487225
395,BR00117025,r14c08,04,real,-3.128151,6.52326
396,BR00117010,r06c03,01,real,-1.1149033,3.8735392
397,BR00117011,r03c06,01,real,-2.706358,2.5061443
398,BR00117011,r03c06,01,real,-2.7704546,4.0942154
399,BR00117011,r03c06,01,real,-2.5767534,6.463631
400,BR00117011,r02c03,09,real,-3.017325,4.1366196
401,BR00117011,r02c03,09,real,-3.2468414,4.5345817
402,BR00117010,r16c05,06,real,-3.2825527,4.892139
403,BR00117010,r16c05,06,real,-3.066492,6.5489407
404,BR00117026,r08c10,02,real,-1.5167671,5.834071
405,BR00117026,r08c10,02,real,-2.1714585,2.0390115
406,BR00117026,r08c10,02,real,-1.5817268,4.624339
407,BR00117026,r08c10,02,real,-1.8065752,3.7092533
408,BR00117010,r09c09,06,real,-2.0144403,6.1339035
409,BR00117024,r01c09,08,real,-3.0908122,6.2536173
410,BR00117013,r10c19,05,real,-3.155308,5.2243423
411,BR00117013,r10c19,05,real,-1.5229162,6.2613926
412,BR00117024,r04c21,08,real,-2.8121521,4.1272025
413,BR00117024,r04c21,08,real,-2.9588068,6.172194
414,BR00117025,r08c10,03,real,-1.67737,2.7770512
415,BR00117025,r08c10,03,real,-3.1722932,3.7543564
416,BR00117012,r09c10,04,real,-0.4730437,3.9367275
417,BR00117026,r12c06,01,real,-2.5654452,5.636123
418,BR00117025,r11c05,05,real,-2.3038802,3.0720005
419,BR00117011,r08c10,04,real,-2.9029098,4.8894267
420,BR00117011,r08c10,04,real,-1.8099034,4.377752
421,BR00116995,r04c15,06,real,-2.9794302,6.1273885
422,BR00116995,r04c15,06,real,-2.810206,6.118469
423,BR00117010,r01c02,08,real,-1.2058152,4.7598667
424,BR00117010,r08c10,01,real,-3.231043,5.8591204
425,BR00117025,r03c03,06,real,-3.1384258,5.898067
426,BR00117026,r12c18,01,real,-1.8469107,6.687753
427,BR00117026,r12c18,01,real,-1.8032616,2.341829
428,BR00117012,r12c06,01,real,-1.3057865,5.319887
429,BR00117026,r03c18,06,real,-2.3530302,2.6463692
430,BR00117026,r03c18,06,real,-1.8264682,5.856545
431,BR00117012,r04c15,04,real,-1.2725828,5.8309236
432,BR00116995,r06c06,05,real,-1.9025056,4.485704
433,BR00116995,r06c06,05,real,-2.5468428,3.0258079
434,BR00116995,r06c06,05,real,-2.0721145,3.9702818
435,BR00117024,r03c21,03,real,-2.0851543,6.1839223
436,BR00117024,r03c21,03,real,-2.9768465,6.057454
437,BR00117024,r03c21,03,real,-1.453481,1.5538769
438,BR00117025,r03c18,04,real,-1.0551118,6.086369
439,BR00117025,r03c18,04,real,-1.5570495,5.411457
440,BR00117025,r03c18,04,real,-2.783694,3.9079638
441,BR00117025,r03c18,04,real,-2.2085066,3.8706062
442,BR00117011,r11c05,01,real,-3.101694,5.819949
443,BR00117011,r11c05,01,real,-2.065427,2.5191464
444,BR00117026,r03c12,09,real,-2.7644253,5.0857544
445,BR00117026,r03c12,09,real,-2.2933414,3.3829572
446,BR00117026,r03c12,09,real,-1.0065149,5.8870506
447,BR00117013,r01c09,06,real,-3.3187864,4.1769176
448,BR00117024,r01c02,01,real,-2.2291315,3.5918193
449,BR00117024,r01c02,01,real,-1.2262195,0.99055755
450,BR00117011,r04c21,08,real,-2.621445,5.542585
451,BR00117012,r11c19,09,real,-0.21882398,5.050266
452,BR00117012,r11c19,09,real,-0.5212305,4.190482
453,BR00117010,r10c23,05,real,-0.75299037,5.3045826
454,BR00117010,r10c23,05,real,-1.9735727,5.267879
455,BR00117010,r04c14,03,real,-3.1969886,5.532551
456,BR00117010,r06c01,03,real,-3.1677198,5.379082
457,BR00117024,r08c04,04,real,-2.3248668,4.0217643
458,BR00117024,r05c24,03,real,-3.2866843,6.144595
459,BR00117024,r05c24,03,real,-3.3308146,5.6959033
460,BR00117010,r10c23,09,real,-1.7703738,5.0199428
461,BR00117010,r12c18,03,real,-1.0023918,4.5363054
462,BR00117025,r06c03,06,real,-2.3587644,4.5687633
463,BR00117025,r06c03,06,real,-2.4319267,6.6242375
464,BR00117011,r11c06,04,real,-1.6577306,4.8552327
465,BR00117011,r11c06,04,real,-1.8434561,6.345374
466,BR00116995,r08c17,09,real,-1.7187808,2.6454482
467,BR00116995,r08c17,09,real,-2.8796802,4.002402
468,BR00117026,r12c18,06,real,-2.636898,4.147814
469,BR00117013,r15c07,04,real,-2.308731,6.1318827
470,BR00117013,r15c07,04,real,-2.48751,4.378673
471,BR00117013,r15c07,04,real,-3.0064955,3.4145696
472,BR00117013,r15c07,04,real,-2.3383093,4.210938
473,BR00117013,r15c07,04,real,-1.2962618,1.2721775
